Country,Currency,Currency Code,Date,Inflation Rate
Brazil,Brazilian Real,BRL,2014-01,6.41
Brazil,Brazilian Real,BRL,2014-01,6.41
Brazil,Brazilian Real,BRL,2014-02,6.41
Brazil,Brazilian Real,BRL,2014-02,6.41
Brazil,Brazilian Real,BRL,2014-03,6.41
Brazil,Brazilian Real,BRL,2014-03,6.41
Brazil,Brazilian Real,BRL,2014-04,6.41
Brazil,Brazilian Real,BRL,2014-04,6.41
Brazil,Brazilian Real,BRL,2014-05,6.41
Brazil,Brazilian Real,BRL,2014-05,6.41
Brazil,Brazilian Real,BRL,2014-06,6.41
Brazil,Brazilian Real,BRL,2014-06,6.41
Brazil,Brazilian Real,BRL,2014-07,6.41
Brazil,Brazilian Real,BRL,2014-07,6.41
Brazil,Brazilian Real,BRL,2014-08,6.41
Brazil,Brazilian Real,BRL,2014-08,6.41
Brazil,Brazilian Real,BRL,2014-09,6.41
Brazil,Brazilian Real,BRL,2014-09,6.41
Brazil,Brazilian Real,BRL,2014-10,6.41
Brazil,Brazilian Real,BRL,2014-10,6.41
Brazil,Brazilian Real,BRL,2014-11,6.41
Brazil,Brazilian Real,BRL,2014-11,6.41
Brazil,Brazilian Real,BRL,2014-12,6.41
Brazil,Brazilian Real,BRL,2014-12,6.41
Brazil,Brazilian Real,BRL,2015-01,10.67
Brazil,Brazilian Real,BRL,2015-01,10.67
Brazil,Brazilian Real,BRL,2015-02,10.67
Brazil,Brazilian Real,BRL,2015-02,10.67
Brazil,Brazilian Real,BRL,2015-03,10.67
Brazil,Brazilian Real,BRL,2015-03,10.67
Brazil,Brazilian Real,BRL,2015-04,10.67
Brazil,Brazilian Real,BRL,2015-04,10.67
Brazil,Brazilian Real,BRL,2015-05,10.67
Brazil,Brazilian Real,BRL,2015-05,10.67
Brazil,Brazilian Real,BRL,2015-06,10.67
Brazil,Brazilian Real,BRL,2015-06,10.67
Brazil,Brazilian Real,BRL,2015-07,10.67
Brazil,Brazilian Real,BRL,2015-07,10.67
Brazil,Brazilian Real,BRL,2015-08,10.67
Brazil,Brazilian Real,BRL,2015-08,10.67
Brazil,Brazilian Real,BRL,2015-09,10.67
Brazil,Brazilian Real,BRL,2015-09,10.67
Brazil,Brazilian Real,BRL,2015-10,10.67
Brazil,Brazilian Real,BRL,2015-10,10.67
Brazil,Brazilian Real,BRL,2015-11,10.67
Brazil,Brazilian Real,BRL,2015-11,10.67
Brazil,Brazilian Real,BRL,2015-12,10.67
Brazil,Brazilian Real,BRL,2015-12,10.67
Brazil,Brazilian Real,BRL,2016-01,6.29
Brazil,Brazilian Real,BRL,2016-01,6.29
Brazil,Brazilian Real,BRL,2016-02,6.29
Brazil,Brazilian Real,BRL,2016-02,6.29
Brazil,Brazilian Real,BRL,2016-03,6.29
Brazil,Brazilian Real,BRL,2016-03,6.29
Brazil,Brazilian Real,BRL,2016-04,6.29
Brazil,Brazilian Real,BRL,2016-04,6.29
Brazil,Brazilian Real,BRL,2016-05,6.29
Brazil,Brazilian Real,BRL,2016-05,6.29
Brazil,Brazilian Real,BRL,2016-06,6.29
Brazil,Brazilian Real,BRL,2016-06,6.29
Brazil,Brazilian Real,BRL,2016-07,6.29
Brazil,Brazilian Real,BRL,2016-07,6.29
Brazil,Brazilian Real,BRL,2016-08,6.29
Brazil,Brazilian Real,BRL,2016-08,6.29
Brazil,Brazilian Real,BRL,2016-09,6.29
Brazil,Brazilian Real,BRL,2016-09,6.29
Brazil,Brazilian Real,BRL,2016-10,6.29
Brazil,Brazilian Real,BRL,2016-10,6.29
Brazil,Brazilian Real,BRL,2016-11,6.29
Brazil,Brazilian Real,BRL,2016-11,6.29
Brazil,Brazilian Real,BRL,2016-12,6.29
Brazil,Brazilian Real,BRL,2016-12,6.29
Brazil,Brazilian Real,BRL,2017-01,2.95
Brazil,Brazilian Real,BRL,2017-01,2.95
Brazil,Brazilian Real,BRL,2017-02,2.95
Brazil,Brazilian Real,BRL,2017-02,2.95
Brazil,Brazilian Real,BRL,2017-03,2.95
Brazil,Brazilian Real,BRL,2017-03,2.95
Brazil,Brazilian Real,BRL,2017-04,2.95
Brazil,Brazilian Real,BRL,2017-04,2.95
Brazil,Brazilian Real,BRL,2017-05,2.95
Brazil,Brazilian Real,BRL,2017-05,2.95
Brazil,Brazilian Real,BRL,2017-06,2.95
Brazil,Brazilian Real,BRL,2017-06,2.95
Brazil,Brazilian Real,BRL,2017-07,2.95
Brazil,Brazilian Real,BRL,2017-07,2.95
Brazil,Brazilian Real,BRL,2017-08,2.95
Brazil,Brazilian Real,BRL,2017-08,2.95
Brazil,Brazilian Real,BRL,2017-09,2.95
Brazil,Brazilian Real,BRL,2017-09,2.95
Brazil,Brazilian Real,BRL,2017-10,2.95
Brazil,Brazilian Real,BRL,2017-10,2.95
Brazil,Brazilian Real,BRL,2017-11,2.95
Brazil,Brazilian Real,BRL,2017-11,2.95
Brazil,Brazilian Real,BRL,2017-12,2.95
Brazil,Brazilian Real,BRL,2017-12,2.95
Brazil,Brazilian Real,BRL,2018-01,3.75
Brazil,Brazilian Real,BRL,2018-01,3.75
Brazil,Brazilian Real,BRL,2018-02,3.75
Brazil,Brazilian Real,BRL,2018-02,3.75
Brazil,Brazilian Real,BRL,2018-03,3.75
Brazil,Brazilian Real,BRL,2018-03,3.75
Brazil,Brazilian Real,BRL,2018-04,3.75
Brazil,Brazilian Real,BRL,2018-04,3.75
Brazil,Brazilian Real,BRL,2018-05,3.75
Brazil,Brazilian Real,BRL,2018-05,3.75
Brazil,Brazilian Real,BRL,2018-06,3.75
Brazil,Brazilian Real,BRL,2018-06,3.75
Brazil,Brazilian Real,BRL,2018-07,3.75
Brazil,Brazilian Real,BRL,2018-07,3.75
Brazil,Brazilian Real,BRL,2018-08,3.75
Brazil,Brazilian Real,BRL,2018-08,3.75
Brazil,Brazilian Real,BRL,2018-09,3.75
Brazil,Brazilian Real,BRL,2018-09,3.75
Brazil,Brazilian Real,BRL,2018-10,3.75
Brazil,Brazilian Real,BRL,2018-10,3.75
Brazil,Brazilian Real,BRL,2018-11,3.75
Brazil,Brazilian Real,BRL,2018-11,3.75
Brazil,Brazilian Real,BRL,2018-12,3.75
Brazil,Brazilian Real,BRL,2018-12,3.75
Brazil,Brazilian Real,BRL,2019-01,0.32
Brazil,Brazilian Real,BRL,2019-01,0.32
Brazil,Brazilian Real,BRL,2019-02,0.32
Brazil,Brazilian Real,BRL,2019-02,0.32
Brazil,Brazilian Real,BRL,2019-03,0.32
Brazil,Brazilian Real,BRL,2019-03,0.32
Brazil,Brazilian Real,BRL,2019-04,0.32
Brazil,Brazilian Real,BRL,2019-04,0.32
Brazil,Brazilian Real,BRL,2019-05,0.32
Brazil,Brazilian Real,BRL,2019-05,0.32
Brazil,Brazilian Real,BRL,2019-06,0.32
Brazil,Brazilian Real,BRL,2019-06,0.32
Brazil,Brazilian Real,BRL,2019-07,0.32
Brazil,Brazilian Real,BRL,2019-07,0.32
Brazil,Brazilian Real,BRL,2019-08,0.32
Brazil,Brazilian Real,BRL,2019-08,0.32
Brazil,Brazilian Real,BRL,2019-09,0.32
Brazil,Brazilian Real,BRL,2019-09,0.32
Brazil,Brazilian Real,BRL,2019-10,0.32
Brazil,Brazilian Real,BRL,2019-10,0.32
Brazil,Brazilian Real,BRL,2019-11,0.32
Brazil,Brazilian Real,BRL,2019-11,0.32
Brazil,Brazilian Real,BRL,2019-12,0.32
Brazil,Brazilian Real,BRL,2019-12,0.32
Belarus,Belarusian Ruble,BYN,2014-01,16.22
Belarus,Belarusian Ruble,BYN,2014-01,16.22
Belarus,Belarusian Ruble,BYN,2014-02,16.22
Belarus,Belarusian Ruble,BYN,2014-02,16.22
Belarus,Belarusian Ruble,BYN,2014-03,16.22
Belarus,Belarusian Ruble,BYN,2014-03,16.22
Belarus,Belarusian Ruble,BYN,2014-04,16.22
Belarus,Belarusian Ruble,BYN,2014-04,16.22
Belarus,Belarusian Ruble,BYN,2014-05,16.22
Belarus,Belarusian Ruble,BYN,2014-05,16.22
Belarus,Belarusian Ruble,BYN,2014-06,16.22
Belarus,Belarusian Ruble,BYN,2014-06,16.22
Belarus,Belarusian Ruble,BYN,2014-07,16.22
Belarus,Belarusian Ruble,BYN,2014-07,16.22
Belarus,Belarusian Ruble,BYN,2014-08,16.22
Belarus,Belarusian Ruble,BYN,2014-08,16.22
Belarus,Belarusian Ruble,BYN,2014-09,16.22
Belarus,Belarusian Ruble,BYN,2014-09,16.22
Belarus,Belarusian Ruble,BYN,2014-10,16.22
Belarus,Belarusian Ruble,BYN,2014-10,16.22
Belarus,Belarusian Ruble,BYN,2014-11,16.22
Belarus,Belarusian Ruble,BYN,2014-11,16.22
Belarus,Belarusian Ruble,BYN,2014-12,16.22
Belarus,Belarusian Ruble,BYN,2014-12,16.22
Belarus,Belarusian Ruble,BYN,2015-01,11.97
Belarus,Belarusian Ruble,BYN,2015-01,11.97
Belarus,Belarusian Ruble,BYN,2015-02,11.97
Belarus,Belarusian Ruble,BYN,2015-02,11.97
Belarus,Belarusian Ruble,BYN,2015-03,11.97
Belarus,Belarusian Ruble,BYN,2015-03,11.97
Belarus,Belarusian Ruble,BYN,2015-04,11.97
Belarus,Belarusian Ruble,BYN,2015-04,11.97
Belarus,Belarusian Ruble,BYN,2015-05,11.97
Belarus,Belarusian Ruble,BYN,2015-05,11.97
Belarus,Belarusian Ruble,BYN,2015-06,11.97
Belarus,Belarusian Ruble,BYN,2015-06,11.97
Belarus,Belarusian Ruble,BYN,2015-07,11.97
Belarus,Belarusian Ruble,BYN,2015-07,11.97
Belarus,Belarusian Ruble,BYN,2015-08,11.97
Belarus,Belarusian Ruble,BYN,2015-08,11.97
Belarus,Belarusian Ruble,BYN,2015-09,11.97
Belarus,Belarusian Ruble,BYN,2015-09,11.97
Belarus,Belarusian Ruble,BYN,2015-10,11.97
Belarus,Belarusian Ruble,BYN,2015-10,11.97
Belarus,Belarusian Ruble,BYN,2015-11,11.97
Belarus,Belarusian Ruble,BYN,2015-11,11.97
Belarus,Belarusian Ruble,BYN,2015-12,11.97
Belarus,Belarusian Ruble,BYN,2015-12,11.97
Belarus,Belarusian Ruble,BYN,2016-01,10.58
Belarus,Belarusian Ruble,BYN,2016-01,10.58
Belarus,Belarusian Ruble,BYN,2016-02,10.58
Belarus,Belarusian Ruble,BYN,2016-02,10.58
Belarus,Belarusian Ruble,BYN,2016-03,10.58
Belarus,Belarusian Ruble,BYN,2016-03,10.58
Belarus,Belarusian Ruble,BYN,2016-04,10.58
Belarus,Belarusian Ruble,BYN,2016-04,10.58
Belarus,Belarusian Ruble,BYN,2016-05,10.58
Belarus,Belarusian Ruble,BYN,2016-05,10.58
Belarus,Belarusian Ruble,BYN,2016-06,10.58
Belarus,Belarusian Ruble,BYN,2016-06,10.58
Belarus,Belarusian Ruble,BYN,2016-07,10.58
Belarus,Belarusian Ruble,BYN,2016-07,10.58
Belarus,Belarusian Ruble,BYN,2016-08,10.58
Belarus,Belarusian Ruble,BYN,2016-08,10.58
Belarus,Belarusian Ruble,BYN,2016-09,10.58
Belarus,Belarusian Ruble,BYN,2016-09,10.58
Belarus,Belarusian Ruble,BYN,2016-10,10.58
Belarus,Belarusian Ruble,BYN,2016-10,10.58
Belarus,Belarusian Ruble,BYN,2016-11,10.58
Belarus,Belarusian Ruble,BYN,2016-11,10.58
Belarus,Belarusian Ruble,BYN,2016-12,10.58
Belarus,Belarusian Ruble,BYN,2016-12,10.58
Belarus,Belarusian Ruble,BYN,2017-01,4.59
Belarus,Belarusian Ruble,BYN,2017-01,4.59
Belarus,Belarusian Ruble,BYN,2017-02,4.59
Belarus,Belarusian Ruble,BYN,2017-02,4.59
Belarus,Belarusian Ruble,BYN,2017-03,4.59
Belarus,Belarusian Ruble,BYN,2017-03,4.59
Belarus,Belarusian Ruble,BYN,2017-04,4.59
Belarus,Belarusian Ruble,BYN,2017-04,4.59
Belarus,Belarusian Ruble,BYN,2017-05,4.59
Belarus,Belarusian Ruble,BYN,2017-05,4.59
Belarus,Belarusian Ruble,BYN,2017-06,4.59
Belarus,Belarusian Ruble,BYN,2017-06,4.59
Belarus,Belarusian Ruble,BYN,2017-07,4.59
Belarus,Belarusian Ruble,BYN,2017-07,4.59
Belarus,Belarusian Ruble,BYN,2017-08,4.59
Belarus,Belarusian Ruble,BYN,2017-08,4.59
Belarus,Belarusian Ruble,BYN,2017-09,4.59
Belarus,Belarusian Ruble,BYN,2017-09,4.59
Belarus,Belarusian Ruble,BYN,2017-10,4.59
Belarus,Belarusian Ruble,BYN,2017-10,4.59
Belarus,Belarusian Ruble,BYN,2017-11,4.59
Belarus,Belarusian Ruble,BYN,2017-11,4.59
Belarus,Belarusian Ruble,BYN,2017-12,4.59
Belarus,Belarusian Ruble,BYN,2017-12,4.59
Belarus,Belarusian Ruble,BYN,2018-01,5.64
Belarus,Belarusian Ruble,BYN,2018-01,5.64
Belarus,Belarusian Ruble,BYN,2018-02,5.64
Belarus,Belarusian Ruble,BYN,2018-02,5.64
Belarus,Belarusian Ruble,BYN,2018-03,5.64
Belarus,Belarusian Ruble,BYN,2018-03,5.64
Belarus,Belarusian Ruble,BYN,2018-04,5.64
Belarus,Belarusian Ruble,BYN,2018-04,5.64
Belarus,Belarusian Ruble,BYN,2018-05,5.64
Belarus,Belarusian Ruble,BYN,2018-05,5.64
Belarus,Belarusian Ruble,BYN,2018-06,5.64
Belarus,Belarusian Ruble,BYN,2018-06,5.64
Belarus,Belarusian Ruble,BYN,2018-07,5.64
Belarus,Belarusian Ruble,BYN,2018-07,5.64
Belarus,Belarusian Ruble,BYN,2018-08,5.64
Belarus,Belarusian Ruble,BYN,2018-08,5.64
Belarus,Belarusian Ruble,BYN,2018-09,5.64
Belarus,Belarusian Ruble,BYN,2018-09,5.64
Belarus,Belarusian Ruble,BYN,2018-10,5.64
Belarus,Belarusian Ruble,BYN,2018-10,5.64
Belarus,Belarusian Ruble,BYN,2018-11,5.64
Belarus,Belarusian Ruble,BYN,2018-11,5.64
Belarus,Belarusian Ruble,BYN,2018-12,5.64
Belarus,Belarusian Ruble,BYN,2018-12,5.64
Belarus,Belarusian Ruble,BYN,2019-01,0.88
Belarus,Belarusian Ruble,BYN,2019-01,0.88
Belarus,Belarusian Ruble,BYN,2019-02,0.88
Belarus,Belarusian Ruble,BYN,2019-02,0.88
Belarus,Belarusian Ruble,BYN,2019-03,0.88
Belarus,Belarusian Ruble,BYN,2019-03,0.88
Belarus,Belarusian Ruble,BYN,2019-04,0.88
Belarus,Belarusian Ruble,BYN,2019-04,0.88
Belarus,Belarusian Ruble,BYN,2019-05,0.88
Belarus,Belarusian Ruble,BYN,2019-05,0.88
Belarus,Belarusian Ruble,BYN,2019-06,0.88
Belarus,Belarusian Ruble,BYN,2019-06,0.88
Belarus,Belarusian Ruble,BYN,2019-07,0.88
Belarus,Belarusian Ruble,BYN,2019-07,0.88
Belarus,Belarusian Ruble,BYN,2019-08,0.88
Belarus,Belarusian Ruble,BYN,2019-08,0.88
Belarus,Belarusian Ruble,BYN,2019-09,0.88
Belarus,Belarusian Ruble,BYN,2019-09,0.88
Belarus,Belarusian Ruble,BYN,2019-10,0.88
Belarus,Belarusian Ruble,BYN,2019-10,0.88
Belarus,Belarusian Ruble,BYN,2019-11,0.88
Belarus,Belarusian Ruble,BYN,2019-11,0.88
Belarus,Belarusian Ruble,BYN,2019-12,0.88
Belarus,Belarusian Ruble,BYN,2019-12,0.88
Canada,Canadian Dollar,CAD,2014-01,1.47
Canada,Canadian Dollar,CAD,2014-01,1.47
Canada,Canadian Dollar,CAD,2014-02,1.47
Canada,Canadian Dollar,CAD,2014-02,1.47
Canada,Canadian Dollar,CAD,2014-03,1.47
Canada,Canadian Dollar,CAD,2014-03,1.47
Canada,Canadian Dollar,CAD,2014-04,1.47
Canada,Canadian Dollar,CAD,2014-04,1.47
Canada,Canadian Dollar,CAD,2014-05,1.47
Canada,Canadian Dollar,CAD,2014-05,1.47
Canada,Canadian Dollar,CAD,2014-06,1.47
Canada,Canadian Dollar,CAD,2014-06,1.47
Canada,Canadian Dollar,CAD,2014-07,1.47
Canada,Canadian Dollar,CAD,2014-07,1.47
Canada,Canadian Dollar,CAD,2014-08,1.47
Canada,Canadian Dollar,CAD,2014-08,1.47
Canada,Canadian Dollar,CAD,2014-09,1.47
Canada,Canadian Dollar,CAD,2014-09,1.47
Canada,Canadian Dollar,CAD,2014-10,1.47
Canada,Canadian Dollar,CAD,2014-10,1.47
Canada,Canadian Dollar,CAD,2014-11,1.47
Canada,Canadian Dollar,CAD,2014-11,1.47
Canada,Canadian Dollar,CAD,2014-12,1.47
Canada,Canadian Dollar,CAD,2014-12,1.47
Canada,Canadian Dollar,CAD,2015-01,1.61
Canada,Canadian Dollar,CAD,2015-01,1.61
Canada,Canadian Dollar,CAD,2015-02,1.61
Canada,Canadian Dollar,CAD,2015-02,1.61
Canada,Canadian Dollar,CAD,2015-03,1.61
Canada,Canadian Dollar,CAD,2015-03,1.61
Canada,Canadian Dollar,CAD,2015-04,1.61
Canada,Canadian Dollar,CAD,2015-04,1.61
Canada,Canadian Dollar,CAD,2015-05,1.61
Canada,Canadian Dollar,CAD,2015-05,1.61
Canada,Canadian Dollar,CAD,2015-06,1.61
Canada,Canadian Dollar,CAD,2015-06,1.61
Canada,Canadian Dollar,CAD,2015-07,1.61
Canada,Canadian Dollar,CAD,2015-07,1.61
Canada,Canadian Dollar,CAD,2015-08,1.61
Canada,Canadian Dollar,CAD,2015-08,1.61
Canada,Canadian Dollar,CAD,2015-09,1.61
Canada,Canadian Dollar,CAD,2015-09,1.61
Canada,Canadian Dollar,CAD,2015-10,1.61
Canada,Canadian Dollar,CAD,2015-10,1.61
Canada,Canadian Dollar,CAD,2015-11,1.61
Canada,Canadian Dollar,CAD,2015-11,1.61
Canada,Canadian Dollar,CAD,2015-12,1.61
Canada,Canadian Dollar,CAD,2015-12,1.61
Canada,Canadian Dollar,CAD,2016-01,1.5
Canada,Canadian Dollar,CAD,2016-01,1.5
Canada,Canadian Dollar,CAD,2016-02,1.5
Canada,Canadian Dollar,CAD,2016-02,1.5
Canada,Canadian Dollar,CAD,2016-03,1.5
Canada,Canadian Dollar,CAD,2016-03,1.5
Canada,Canadian Dollar,CAD,2016-04,1.5
Canada,Canadian Dollar,CAD,2016-04,1.5
Canada,Canadian Dollar,CAD,2016-05,1.5
Canada,Canadian Dollar,CAD,2016-05,1.5
Canada,Canadian Dollar,CAD,2016-06,1.5
Canada,Canadian Dollar,CAD,2016-06,1.5
Canada,Canadian Dollar,CAD,2016-07,1.5
Canada,Canadian Dollar,CAD,2016-07,1.5
Canada,Canadian Dollar,CAD,2016-08,1.5
Canada,Canadian Dollar,CAD,2016-08,1.5
Canada,Canadian Dollar,CAD,2016-09,1.5
Canada,Canadian Dollar,CAD,2016-09,1.5
Canada,Canadian Dollar,CAD,2016-10,1.5
Canada,Canadian Dollar,CAD,2016-10,1.5
Canada,Canadian Dollar,CAD,2016-11,1.5
Canada,Canadian Dollar,CAD,2016-11,1.5
Canada,Canadian Dollar,CAD,2016-12,1.5
Canada,Canadian Dollar,CAD,2016-12,1.5
Canada,Canadian Dollar,CAD,2017-01,1.87
Canada,Canadian Dollar,CAD,2017-01,1.87
Canada,Canadian Dollar,CAD,2017-02,1.87
Canada,Canadian Dollar,CAD,2017-02,1.87
Canada,Canadian Dollar,CAD,2017-03,1.87
Canada,Canadian Dollar,CAD,2017-03,1.87
Canada,Canadian Dollar,CAD,2017-04,1.87
Canada,Canadian Dollar,CAD,2017-04,1.87
Canada,Canadian Dollar,CAD,2017-05,1.87
Canada,Canadian Dollar,CAD,2017-05,1.87
Canada,Canadian Dollar,CAD,2017-06,1.87
Canada,Canadian Dollar,CAD,2017-06,1.87
Canada,Canadian Dollar,CAD,2017-07,1.87
Canada,Canadian Dollar,CAD,2017-07,1.87
Canada,Canadian Dollar,CAD,2017-08,1.87
Canada,Canadian Dollar,CAD,2017-08,1.87
Canada,Canadian Dollar,CAD,2017-09,1.87
Canada,Canadian Dollar,CAD,2017-09,1.87
Canada,Canadian Dollar,CAD,2017-10,1.87
Canada,Canadian Dollar,CAD,2017-10,1.87
Canada,Canadian Dollar,CAD,2017-11,1.87
Canada,Canadian Dollar,CAD,2017-11,1.87
Canada,Canadian Dollar,CAD,2017-12,1.87
Canada,Canadian Dollar,CAD,2017-12,1.87
Canada,Canadian Dollar,CAD,2018-01,1.99
Canada,Canadian Dollar,CAD,2018-01,1.99
Canada,Canadian Dollar,CAD,2018-02,1.99
Canada,Canadian Dollar,CAD,2018-02,1.99
Canada,Canadian Dollar,CAD,2018-03,1.99
Canada,Canadian Dollar,CAD,2018-03,1.99
Canada,Canadian Dollar,CAD,2018-04,1.99
Canada,Canadian Dollar,CAD,2018-04,1.99
Canada,Canadian Dollar,CAD,2018-05,1.99
Canada,Canadian Dollar,CAD,2018-05,1.99
Canada,Canadian Dollar,CAD,2018-06,1.99
Canada,Canadian Dollar,CAD,2018-06,1.99
Canada,Canadian Dollar,CAD,2018-07,1.99
Canada,Canadian Dollar,CAD,2018-07,1.99
Canada,Canadian Dollar,CAD,2018-08,1.99
Canada,Canadian Dollar,CAD,2018-08,1.99
Canada,Canadian Dollar,CAD,2018-09,1.99
Canada,Canadian Dollar,CAD,2018-09,1.99
Canada,Canadian Dollar,CAD,2018-10,1.99
Canada,Canadian Dollar,CAD,2018-10,1.99
Canada,Canadian Dollar,CAD,2018-11,1.99
Canada,Canadian Dollar,CAD,2018-11,1.99
Canada,Canadian Dollar,CAD,2018-12,1.99
Canada,Canadian Dollar,CAD,2018-12,1.99
Canada,Canadian Dollar,CAD,2019-01,0
Canada,Canadian Dollar,CAD,2019-01,0
Canada,Canadian Dollar,CAD,2019-02,0
Canada,Canadian Dollar,CAD,2019-02,0
Canada,Canadian Dollar,CAD,2019-03,0
Canada,Canadian Dollar,CAD,2019-03,0
Canada,Canadian Dollar,CAD,2019-04,0
Canada,Canadian Dollar,CAD,2019-04,0
Canada,Canadian Dollar,CAD,2019-05,0
Canada,Canadian Dollar,CAD,2019-05,0
Canada,Canadian Dollar,CAD,2019-06,0
Canada,Canadian Dollar,CAD,2019-06,0
Canada,Canadian Dollar,CAD,2019-07,0
Canada,Canadian Dollar,CAD,2019-07,0
Canada,Canadian Dollar,CAD,2019-08,0
Canada,Canadian Dollar,CAD,2019-08,0
Canada,Canadian Dollar,CAD,2019-09,0
Canada,Canadian Dollar,CAD,2019-09,0
Canada,Canadian Dollar,CAD,2019-10,0
Canada,Canadian Dollar,CAD,2019-10,0
Canada,Canadian Dollar,CAD,2019-11,0
Canada,Canadian Dollar,CAD,2019-11,0
Canada,Canadian Dollar,CAD,2019-12,0
Canada,Canadian Dollar,CAD,2019-12,0
European Union,Euro,EUR,2014-01,-0.08
European Union,Euro,EUR,2014-01,-0.08
European Union,Euro,EUR,2014-02,-0.08
European Union,Euro,EUR,2014-02,-0.08
European Union,Euro,EUR,2014-03,-0.08
European Union,Euro,EUR,2014-03,-0.08
European Union,Euro,EUR,2014-04,-0.08
European Union,Euro,EUR,2014-04,-0.08
European Union,Euro,EUR,2014-05,-0.08
European Union,Euro,EUR,2014-05,-0.08
European Union,Euro,EUR,2014-06,-0.08
European Union,Euro,EUR,2014-06,-0.08
European Union,Euro,EUR,2014-07,-0.08
European Union,Euro,EUR,2014-07,-0.08
European Union,Euro,EUR,2014-08,-0.08
European Union,Euro,EUR,2014-08,-0.08
European Union,Euro,EUR,2014-09,-0.08
European Union,Euro,EUR,2014-09,-0.08
European Union,Euro,EUR,2014-10,-0.08
European Union,Euro,EUR,2014-10,-0.08
European Union,Euro,EUR,2014-11,-0.08
European Union,Euro,EUR,2014-11,-0.08
European Union,Euro,EUR,2014-12,-0.08
European Union,Euro,EUR,2014-12,-0.08
European Union,Euro,EUR,2015-01,0.18
European Union,Euro,EUR,2015-01,0.18
European Union,Euro,EUR,2015-02,0.18
European Union,Euro,EUR,2015-02,0.18
European Union,Euro,EUR,2015-03,0.18
European Union,Euro,EUR,2015-03,0.18
European Union,Euro,EUR,2015-04,0.18
European Union,Euro,EUR,2015-04,0.18
European Union,Euro,EUR,2015-05,0.18
European Union,Euro,EUR,2015-05,0.18
European Union,Euro,EUR,2015-06,0.18
European Union,Euro,EUR,2015-06,0.18
European Union,Euro,EUR,2015-07,0.18
European Union,Euro,EUR,2015-07,0.18
European Union,Euro,EUR,2015-08,0.18
European Union,Euro,EUR,2015-08,0.18
European Union,Euro,EUR,2015-09,0.18
European Union,Euro,EUR,2015-09,0.18
European Union,Euro,EUR,2015-10,0.18
European Union,Euro,EUR,2015-10,0.18
European Union,Euro,EUR,2015-11,0.18
European Union,Euro,EUR,2015-11,0.18
European Union,Euro,EUR,2015-12,0.18
European Union,Euro,EUR,2015-12,0.18
European Union,Euro,EUR,2016-01,1.14
European Union,Euro,EUR,2016-01,1.14
European Union,Euro,EUR,2016-02,1.14
European Union,Euro,EUR,2016-02,1.14
European Union,Euro,EUR,2016-03,1.14
European Union,Euro,EUR,2016-03,1.14
European Union,Euro,EUR,2016-04,1.14
European Union,Euro,EUR,2016-04,1.14
European Union,Euro,EUR,2016-05,1.14
European Union,Euro,EUR,2016-05,1.14
European Union,Euro,EUR,2016-06,1.14
European Union,Euro,EUR,2016-06,1.14
European Union,Euro,EUR,2016-07,1.14
European Union,Euro,EUR,2016-07,1.14
European Union,Euro,EUR,2016-08,1.14
European Union,Euro,EUR,2016-08,1.14
European Union,Euro,EUR,2016-09,1.14
European Union,Euro,EUR,2016-09,1.14
European Union,Euro,EUR,2016-10,1.14
European Union,Euro,EUR,2016-10,1.14
European Union,Euro,EUR,2016-11,1.14
European Union,Euro,EUR,2016-11,1.14
European Union,Euro,EUR,2016-12,1.14
European Union,Euro,EUR,2016-12,1.14
European Union,Euro,EUR,2017-01,1.64
European Union,Euro,EUR,2017-01,1.64
European Union,Euro,EUR,2017-02,1.64
European Union,Euro,EUR,2017-02,1.64
European Union,Euro,EUR,2017-03,1.64
European Union,Euro,EUR,2017-03,1.64
European Union,Euro,EUR,2017-04,1.64
European Union,Euro,EUR,2017-04,1.64
European Union,Euro,EUR,2017-05,1.64
European Union,Euro,EUR,2017-05,1.64
European Union,Euro,EUR,2017-06,1.64
European Union,Euro,EUR,2017-06,1.64
European Union,Euro,EUR,2017-07,1.64
European Union,Euro,EUR,2017-07,1.64
European Union,Euro,EUR,2017-08,1.64
European Union,Euro,EUR,2017-08,1.64
European Union,Euro,EUR,2017-09,1.64
European Union,Euro,EUR,2017-09,1.64
European Union,Euro,EUR,2017-10,1.64
European Union,Euro,EUR,2017-10,1.64
European Union,Euro,EUR,2017-11,1.64
European Union,Euro,EUR,2017-11,1.64
European Union,Euro,EUR,2017-12,1.64
European Union,Euro,EUR,2017-12,1.64
European Union,Euro,EUR,2018-01,1.63
European Union,Euro,EUR,2018-01,1.63
European Union,Euro,EUR,2018-02,1.63
European Union,Euro,EUR,2018-02,1.63
European Union,Euro,EUR,2018-03,1.63
European Union,Euro,EUR,2018-03,1.63
European Union,Euro,EUR,2018-04,1.63
European Union,Euro,EUR,2018-04,1.63
European Union,Euro,EUR,2018-05,1.63
European Union,Euro,EUR,2018-05,1.63
European Union,Euro,EUR,2018-06,1.63
European Union,Euro,EUR,2018-06,1.63
European Union,Euro,EUR,2018-07,1.63
European Union,Euro,EUR,2018-07,1.63
European Union,Euro,EUR,2018-08,1.63
European Union,Euro,EUR,2018-08,1.63
European Union,Euro,EUR,2018-09,1.63
European Union,Euro,EUR,2018-09,1.63
European Union,Euro,EUR,2018-10,1.63
European Union,Euro,EUR,2018-10,1.63
European Union,Euro,EUR,2018-11,1.63
European Union,Euro,EUR,2018-11,1.63
